KOD DUN,NAMA DUN,2014(I),2014(II),2015,2016,2017
N1,Banggi,176,115,149,250,208
N2,Tanjong Kapor,176,115,180,250,208
N3,Bengkoka/Pitas,176,115,180,180,150
N4,Matunggong,177,114,180,180,150
N5,Tandek,176,115,180,180,150
N6,Tempasuk,176,115,178,150,138
N7,Kadamaian,176,115,150,150,138
N8,Usukan,177,114,150,200,140
N9,Tamparuli,94,197,245,146,333
N10,Sulaman,94,197,149,300,250
N11,Kiulu,94,197,180,300,250
N12,Karambunai,164,127,180,150,125
N13,Inanam,53,238,180,150,125
N14,Likas,65,226,180,80,67
N15,Api-api,94,197,149,50,42
N16,Luyang,94,197,180,0,42
N17,Tanjung Aru,94,197,180,250,208
N18,Petagas,94,197,180,150,125
N19,Kapayan,94,197,180,200,167
N20,Moyog,94,197,149,250,208
N21,Kawang,176,115,180,300,250
N22,Pantai Manis,176,115,176,Tiada maklumat,Tiada maklumat
N23,Bongawan,176,115,180,Tiada maklumat,Tiada maklumat
N24,Membakut,177,114,180,150,125
N25,Klias,176,115,180,180,150
N26,Kuala Penyu,176,115,180,300,250
N27,Lumadan,177,114,180,180,150
N28,Sindumin,176,115,180,150,125
N29,Kundasang,94,197,180,120,100
N30,Karanaan,94,197,180,120,100
N31,Paginatan,94,197,180,120,100
N32,Tambunan,201,90,180,300,250
N33,Bingkor,201,90,114,300,250
N34,Liawan,201,90,180,Tiada maklumat,Tiada maklumat
N35,Melalap,201,90,149,200,167
N36,Kemabong,201,90,180,200,167
N37,Sook,201,90,16,74,150
N38,Nabawan,204,87,652,250,375
N39,Sugut,141,150,180,200,167
N40,Labuk,141,150,180,450,375
N41,Gum Gum,141,150,180,235,200
N42,Sungai Sibuga,141,150,161,266,200
N43,Sekong,141,150,94,170,200
N44,Karamunting,141,150,180,206,172
N45,Elopura,141,150,80,102,140
N46,Tanjung Papat,141,150,180,202,140
N47,Kuamut,141,225,180,550,458
N48,Sukau,141,75,180,200,292
N49,Tungku,117,174,180,150,125
N50,Lahad Datu,118,173,170,150,125
N51,Kunak,117,174,180,250,208
N52,Sulabayan,118,173,185,150,250
N53,Senallang,117,174,180,150,Tiada maklumat
N54,Bugaya,117,174,180,150,125
N55,Balung,117,174,180,180,150
N56,Apas,118,173,180,180,150
N57,Sri Tanjung,117,174,180,180,186
N58,Merotai,118,173,180,99,47
N59,Tanjung Batu,117,174,180,37,217
N60,Sebatik,118,173,180,Tiada maklumat,150
